Index [<ind>],Particle X-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Y-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Z-Coordinate X Particle ID (Study 01 - Particles) [m]
227,0.167575,-1.08479,-0.131201
228,-0.0413431,-1.08334,0.363113
229,-0.0425072,-1.08484,0.0090761
230,-0.0435049,-1.08528,-0.234993
231,0.2083,-1.08481,-0.384797
232,0.038673,-1.08421,0.052417
233,0.259766,0.0189818,-0.31846
234,0.110901,-1.08361,-0.148384
235,-0.359673,0.0158767,0.0830494
236,-0.319644,0.0184121,-0.171593
237,-0.483949,0.0157677,-0.349596
238,0.0866011,-1.08352,0.168181
239,0.415195,-0.66271,-0.11345
240,-0.135648,-1.08023,0.217031
241,-0.448201,-1.08058,0.238116
242,-0.167124,-1.08505,0.354618
243,-0.303914,-1.0817,-0.097549
244,-0.116595,-1.08443,-0.0309601
245,-0.274974,0.0152188,0.0456036
246,0.22545,0.0155146,0.206735
247,0.390973,0.0153272,-0.300953
248,-0.0518891,-1.06602,0.218964
249,0.291489,0.0149359,-0.0214205
250,0.119142,-1.08298,-0.382902
251,-0.272308,0.0165074,0.218891
252,0.0412414,-1.08342,0.333011
253,0.267947,-1.08221,0.280158
254,-0.447935,-1.08158,-0.38159
255,-0.281179,0.016775,0.280548
256,-0.24885,0.0164037,-0.352818
257,-0.234812,0.0194708,-0.166536
258,0.0740438,-1.08148,-0.278785
259,0.387519,-0.743734,-0.0941577
260,-0.332181,-1.08295,0.0983205
261,0.166475,-1.08282,0.34
262,0.221922,-1.08392,0.0133134
263,-0.0388186,-1.08082,0.170055
264,-0.295263,0.017795,-0.0748618
265,0.372417,-1.08231,0.28153
266,-0.0260228,-1.08477,-0.304092
267,-0.185574,-0.408833,0.0133585
268,0.446677,-1.08376,0.112557
269,0.313021,0.015849,0.232605
270,-0.482466,0.0174299,0.229281
271,0.0224081,-1.08253,-0.382204
272,0.484928,-0.714093,-0.155691
273,0.26836,0.0154563,-0.147689
274,0.227913,0.0175304,-0.101836
275,-0.103858,-1.0854,-0.257538
276,-0.18365,-1.08326,-0.208261
277,-0.395153,0.0180755,0.0124482
278,-0.296916,-0.520849,-0.139931
279,-0.418867,0.0170454,0.271789
280,0.2993,-1.08391,0.303832
281,0.263297,-1.08439,-0.173138
282,0.267477,0.0173371,0.101704
283,-0.24668,0.0160344,-0.0839017
284,0.292128,-1.06758,-0.157026
285,0.27808,-1.08027,-0.123363
286,0.00177546,-1.05833,-0.302492
287,-0.0629985,-1.08453,-0.129226
288,0.205189,-0.363721,-0.255167
289,0.238085,0.0183011,0.238096
290,-0.143464,-0.313477,0.306206
291,-0.217996,-1.08245,0.065035
292,-0.10531,-1.08401,-0.00120811
293,0.0747067,-1.08441,0.0757877
294,0.131054,-1.08205,0.320666
295,-0.151435,-1.08209,-0.227951
296,-0.155758,-1.08379,-0.317785
297,0.161685,-1.08353,0.151384
298,-0.103938,-1.08497,-0.312806
299,-0.374204,0.0159751,0.111492
